,title,authors,publish_date,text,url,duration
2,The Stark Reality of Israel’s Fight in Gaza,Eric Schmitt,2024-04-22,Israel’s military operations in Gaza have weakened Hamas. Most Hamas battalions have been degraded a,https://www.nytimes.com/2024/04/22/us/politics/israel-gaza-hamas-war.html,0.3353099822998047
3,The Stark Reality of Israel’s Fight in Gaza,Adam Rasgon,2024-04-22,Israel’s military operations in Gaza have weakened Hamas. Most Hamas battalions have been degraded a,https://www.nytimes.com/2024/04/22/us/politics/israel-gaza-hamas-war.html,0.3353099822998047
0,"Huw Edwards, a Top BBC Anchor, Resigns After 40 Years",Victor Mather,2024-04-22,"Huw Edwards, one of the BBC’s highest-profile anchors and who was suspended last year over allegatio",https://www.nytimes.com/2024/04/22/world/europe/huw-edwards-bbc-resign.html,0.4035971164703369
1,"Huw Edwards, a Top BBC Anchor, Resigns After 40 Years",More About Victor Mather,2024-04-22,"Huw Edwards, one of the BBC’s highest-profile anchors and who was suspended last year over allegatio",https://www.nytimes.com/2024/04/22/world/europe/huw-edwards-bbc-resign.html,0.4035971164703369
0,"Israel Hasn’t Offered Evidence Tying Many U.N. Workers to Hamas, Review Says",Cassandra Vinograd,2024-04-22,Israel has not provided evidence to support its accusations that many employees of the main U.N. age,https://www.nytimes.com/2024/04/22/world/middleeast/unrwa-israel-hamas-report.html,0.14083194732666016
1,"Israel Hasn’t Offered Evidence Tying Many U.N. Workers to Hamas, Review Says",Patrick Kingsley,2024-04-22,Israel has not provided evidence to support its accusations that many employees of the main U.N. age,https://www.nytimes.com/2024/04/22/world/middleeast/unrwa-israel-hamas-report.html,0.14083194732666016
0,TikTok Faces E.U. Inquiry Over ‘Addictive’ Features,Adam Satariano,2024-04-22,European Union regulators on Monday threatened to fine TikTok over potentially addictive features on,https://www.nytimes.com/2024/04/22/technology/tiktok-eu-inquriy-addictive-features.html,0.9699819087982178
0,Palestinian Baby Delivered After Mother Killed in Israeli Strike,Liam Stack,2024-04-22,Doctors in Gaza delivered a baby on Saturday from a Palestinian woman who had been killed alongside ,https://www.nytimes.com/2024/04/22/world/middleeast/palestinian-baby-delivered-mother-killed.html,0.4363887310028076
1,Palestinian Baby Delivered After Mother Killed in Israeli Strike,More About Liam Stack,2024-04-22,Doctors in Gaza delivered a baby on Saturday from a Palestinian woman who had been killed alongside ,https://www.nytimes.com/2024/04/22/world/middleeast/palestinian-baby-delivered-mother-killed.html,0.4363887310028076
0,FIFA Said to Be Close to TV Deal With Apple for New Tournament,Tariq Panja,2024-04-22,"FIFA, soccer’s global governing body, is close to an agreement with Apple that would give the tech c",https://www.nytimes.com/2024/04/22/business/fifa-apple-tv-deal.html,0.2692248821258545
0,Everton Seeks Alternative Buyer as Deal With 777 Partners Falters,Tariq Panja,2024-04-22,"Advisers for Everton, one of the oldest teams in English soccer and a founding member of the Premier",https://www.nytimes.com/2024/04/22/business/everton-sale-777-partners.html,0.1313490867614746
0,1974: Leftists Threaten to Kill Official in Genoa Kidnap,The International Herald Tribune,2024-04-22,ROME — A man claiming to represent the kidnappers of Genoa’s deputy public prosecutor threatened ton,https://www.nytimes.com/2024/04/22/world/leftists-kidnap-genoa.html,0.15721607208251953
0,3 People Injured After Vehicle Attack in Jerusalem,Liam Stack,2024-04-22,The Israeli authorities said they had arrested two men in Jerusalem on Monday after a vehicle was us,https://www.nytimes.com/2024/04/22/world/middleeast/israel-jerusalem-car-attack.html,0.12420082092285156
1,3 People Injured After Vehicle Attack in Jerusalem,More About Liam Stack,2024-04-22,The Israeli authorities said they had arrested two men in Jerusalem on Monday after a vehicle was us,https://www.nytimes.com/2024/04/22/world/middleeast/israel-jerusalem-car-attack.html,0.12420082092285156
0,‘Discomfort May Increase’: Asia’s Heat Wave Scorches Hundreds of Millions,Saif Hasnat,2024-04-22,Hundreds of millions of people in South and Southeast Asia were suffering on Monday from a punishing,https://www.nytimes.com/2024/04/22/world/asia/heatwave-india-bangladesh.html,0.14108800888061523
1,‘Discomfort May Increase’: Asia’s Heat Wave Scorches Hundreds of Millions,Mike Ives,2024-04-22,Hundreds of millions of people in South and Southeast Asia were suffering on Monday from a punishing,https://www.nytimes.com/2024/04/22/world/asia/heatwave-india-bangladesh.html,0.14108800888061523
0,"Israelis Prepare to Mark Passover, a Festival of Freedom, With Hostages Still in Gaza",Isabel Kershner,2024-04-22,"Many Israelis were in a somber mood on Monday as they prepared to usher in Passover, the Jewish fest",https://www.nytimes.com/2024/04/22/world/middleeast/israel-passover-hostages-gaza.html,0.19398212432861328
0,Bird Flu Is Infecting More Mammals. What Does That Mean for Us?,Apoorva Mandavilli,2024-04-22,"In her three decades of working with elephant seals, Dr. Marcela Uhart had never seen anything like ",https://www.nytimes.com/2024/04/22/health/birdflu-marine-mammals.html,0.3373141288757324
1,Bird Flu Is Infecting More Mammals. What Does That Mean for Us?,Emily Anthes,2024-04-22,"In her three decades of working with elephant seals, Dr. Marcela Uhart had never seen anything like ",https://www.nytimes.com/2024/04/22/health/birdflu-marine-mammals.html,0.3373141288757324
0,Monday Briefing,Daniel E. Slotnik,2024-04-22,"‘A new chapter’ for Israel and Iran

After a week of tense internal deliberation and international a",https://www.nytimes.com/2024/04/22/briefing/iran-israel-congress-aid-myanmar.html,0.2455277442932129
0,"Israel Planned Bigger Attack on Iran, but Scaled It Back to Avoid War",Ronen Bergman,2024-04-22,Israel abandoned plans for a much more extensive counterstrike on Iran after concerted diplomatic pr,https://www.nytimes.com/2024/04/22/world/middleeast/israel-iran-war-strike.html,0.14962100982666016
1,"Israel Planned Bigger Attack on Iran, but Scaled It Back to Avoid War",Patrick Kingsley,2024-04-22,Israel abandoned plans for a much more extensive counterstrike on Iran after concerted diplomatic pr,https://www.nytimes.com/2024/04/22/world/middleeast/israel-iran-war-strike.html,0.14962100982666016
0,U.S. Considers Imposing Sanctions on Israeli Military Unit,Isabel Kershner,2024-04-21,The United States is considering imposing sanctions on one or more Israeli battalions accused of hum,https://www.nytimes.com/2024/04/21/world/middleeast/us-sanctions-israel-gaza.html,0.14725399017333984
1,U.S. Considers Imposing Sanctions on Israeli Military Unit,Adam Rasgon,2024-04-21,The United States is considering imposing sanctions on one or more Israeli battalions accused of hum,https://www.nytimes.com/2024/04/21/world/middleeast/us-sanctions-israel-gaza.html,0.14725399017333984
2,U.S. Considers Imposing Sanctions on Israeli Military Unit,Julian E. Barnes,2024-04-21,The United States is considering imposing sanctions on one or more Israeli battalions accused of hum,https://www.nytimes.com/2024/04/21/world/middleeast/us-sanctions-israel-gaza.html,0.14725399017333984
0,Monday Briefing: U.S. Poised to Resume Aid to Ukraine,Amelia Nierenberg,2024-04-21,"U.S. House passes foreign aid package

The House voted on Saturday in favor of $95 billion in long-s",https://www.nytimes.com/2024/04/21/world/asia/us-ukraine-aid-iran-israel-asia.html,0.23131299018859863
0,‘Team USA Was Cheated’: Chinese Doping Case Exposes Rift in Swimming,Jenny Vrentas,2024-04-21,The revelation that 23 Chinese swimmers tested positive for a banned drug seven months before the To,https://www.nytimes.com/2024/04/21/world/asia/chinese-swimmers-doping.html,0.17767882347106934
1,‘Team USA Was Cheated’: Chinese Doping Case Exposes Rift in Swimming,Tariq Panja,2024-04-21,The revelation that 23 Chinese swimmers tested positive for a banned drug seven months before the To,https://www.nytimes.com/2024/04/21/world/asia/chinese-swimmers-doping.html,0.17767882347106934
2,‘Team USA Was Cheated’: Chinese Doping Case Exposes Rift in Swimming,Michael S. Schmidt,2024-04-21,The revelation that 23 Chinese swimmers tested positive for a banned drug seven months before the To,https://www.nytimes.com/2024/04/21/world/asia/chinese-swimmers-doping.html,0.17767882347106934
0,India to Redo Voting at Polling Stations Hit by Violence,Sameer Yasir,2024-04-21,India’s election authorities have directed officials to redo voting at several polling places in the,https://www.nytimes.com/2024/04/21/world/asia/india-presidential-election-voting-manipur.html,0.13617396354675293
0,Palestinians Go on Strike in West Bank to Protest Deadly Israeli Military Raid,Vivek Shankar,2024-04-21,Palestinians in the West Bank on Sunday went on a general strike to protest an Israeli military raid,https://www.nytimes.com/2024/04/21/world/middleeast/west-bank-gaza-raid.html,0.4505650997161865
1,Palestinians Go on Strike in West Bank to Protest Deadly Israeli Military Raid,Isabel Kershner,2024-04-21,Palestinians in the West Bank on Sunday went on a general strike to protest an Israeli military raid,https://www.nytimes.com/2024/04/21/world/middleeast/west-bank-gaza-raid.html,0.4505650997161865
0,Heavy Rains Hit Southern China as Hong Kong Spots a Waterspout,Zixu Wang,2024-04-21,"Torrential rain battered southern China on Sunday, causing flooding and forcing tens of thousands of",https://www.nytimes.com/2024/04/21/world/asia/guangdong-china-rain-flood-weather.html,0.5233111381530762
1,Heavy Rains Hit Southern China as Hong Kong Spots a Waterspout,Yan Zhuang,2024-04-21,"Torrential rain battered southern China on Sunday, causing flooding and forcing tens of thousands of",https://www.nytimes.com/2024/04/21/world/asia/guangdong-china-rain-flood-weather.html,0.5233111381530762
2,Heavy Rains Hit Southern China as Hong Kong Spots a Waterspout,More About Zixu Wang,2024-04-21,"Torrential rain battered southern China on Sunday, causing flooding and forcing tens of thousands of",https://www.nytimes.com/2024/04/21/world/asia/guangdong-china-rain-flood-weather.html,0.5233111381530762
3,Heavy Rains Hit Southern China as Hong Kong Spots a Waterspout,More About Yan Zhuang,2024-04-21,"Torrential rain battered southern China on Sunday, causing flooding and forcing tens of thousands of",https://www.nytimes.com/2024/04/21/world/asia/guangdong-china-rain-flood-weather.html,0.5233111381530762
0,Vote to Resume U.S. Military Aid Is Met With Relief in Ukraine,Marc Santora,2024-04-21,"The Ukrainian lieutenant was at a firing position on the eastern front, commanding an artillery unit",https://www.nytimes.com/2024/04/21/world/europe/ukraine-military-aid-bill.html,0.2289121150970459
0,A Country Awash in Violence Backs Its Leader’s Hard-Line Stance,Genevieve Glatsky,2024-04-21,Ecuadoreans voted on Sunday to give their new president more powers to combat the country’s plague o,https://www.nytimes.com/2024/04/21/world/americas/ecuador-referendum-vote-noboa.html,0.14183616638183594
0,"Golden Visa Programs, Once a Boon, Lose Their Luster",Liz Alderman,2024-04-21,"When Ana Jimena Barba, a young doctor, began working at a hospital in Madrid last year, she moved in",https://www.nytimes.com/2024/04/21/business/golden-visa-spain-europe-housing-crisis.html,0.18387484550476074
0,A Friend of Obama Who Could Soon Share the World Stage With Trump,Mark Landler,2024-04-21,"Few British politicians have American ties as deep as those of David Lammy, who is set to become Bri",https://www.nytimes.com/2024/04/21/world/europe/david-lammy-interview-obama-trump.html,0.28125810623168945
0,China’s Swimmers Tested Positive. What Happens to Their Medals?,Andrew Das,2024-04-21,"Whenever a suspicion of doping arises in an Olympics, attention can shift quickly from the athletes ",https://www.nytimes.com/2024/04/21/world/asia/china-swimmers-doping-olympics-medals.html,0.5020170211791992
1,China’s Swimmers Tested Positive. What Happens to Their Medals?,Joe Ward,2024-04-21,"Whenever a suspicion of doping arises in an Olympics, attention can shift quickly from the athletes ",https://www.nytimes.com/2024/04/21/world/asia/china-swimmers-doping-olympics-medals.html,0.5020170211791992
2,China’s Swimmers Tested Positive. What Happens to Their Medals?,Matthew Cullen,2024-04-21,"Whenever a suspicion of doping arises in an Olympics, attention can shift quickly from the athletes ",https://www.nytimes.com/2024/04/21/world/asia/china-swimmers-doping-olympics-medals.html,0.5020170211791992
0,Russian Attacks Crush Factories and Way of Life in Ukrainian Villages,Andrew E. Kramer,2024-04-21,"Its towering smokestacks once puffed out clouds of steam. In gigantic machine rooms, turbines whirle",https://www.nytimes.com/2024/04/21/world/europe/ukraine-industry-donbas-russia.html,0.5333681106567383
1,Russian Attacks Crush Factories and Way of Life in Ukrainian Villages,Maria Varenikova,2024-04-21,"Its towering smokestacks once puffed out clouds of steam. In gigantic machine rooms, turbines whirle",https://www.nytimes.com/2024/04/21/world/europe/ukraine-industry-donbas-russia.html,0.5333681106567383
2,Russian Attacks Crush Factories and Way of Life in Ukrainian Villages,Nicole Tung,2024-04-21,"Its towering smokestacks once puffed out clouds of steam. In gigantic machine rooms, turbines whirle",https://www.nytimes.com/2024/04/21/world/europe/ukraine-industry-donbas-russia.html,0.5333681106567383
0,"Crackdowns, Attacks and Threat of War Put Iranians on Edge",Farnaz Fassihi,2024-04-21,"In the early hours of Friday, Mehrdad, an engineer in Isfahan, Iran, woke to the sound of explosions",https://www.nytimes.com/2024/04/21/world/middleeast/iran-economy-israel-war.html,0.30476880073547363
0,Israel’s Strike on Iran Highlights Its Ability to Evade Tehran’s Air Defenses,Farnaz Fassihi,2024-04-20,"An Israeli airstrike on Iran on Friday damaged an air defense system, according to Western and Irani",https://www.nytimes.com/2024/04/20/world/middleeast/israel-strikes-iran.html,0.6924009323120117
1,Israel’s Strike on Iran Highlights Its Ability to Evade Tehran’s Air Defenses,Ronen Bergman,2024-04-20,"An Israeli airstrike on Iran on Friday damaged an air defense system, according to Western and Irani",https://www.nytimes.com/2024/04/20/world/middleeast/israel-strikes-iran.html,0.6924009323120117
2,Israel’s Strike on Iran Highlights Its Ability to Evade Tehran’s Air Defenses,Eric Schmitt,2024-04-20,"An Israeli airstrike on Iran on Friday damaged an air defense system, according to Western and Irani",https://www.nytimes.com/2024/04/20/world/middleeast/israel-strikes-iran.html,0.6924009323120117
3,Israel’s Strike on Iran Highlights Its Ability to Evade Tehran’s Air Defenses,Luis Ferré-Sadurní,2024-04-20,"An Israeli airstrike on Iran on Friday damaged an air defense system, according to Western and Irani",https://www.nytimes.com/2024/04/20/world/middleeast/israel-strikes-iran.html,0.6924009323120117
0,U.S. Military Aid for Ukraine Could Soon Flow Again,John Ismay,2024-04-20,Shipments of American weapons could begin flowing to Ukraine again soon after a long-stalled aid pac,https://www.nytimes.com/2024/04/20/us/politics/weapons-aid-ukraine-military.html,0.13705015182495117
1,U.S. Military Aid for Ukraine Could Soon Flow Again,Eric Schmitt,2024-04-20,Shipments of American weapons could begin flowing to Ukraine again soon after a long-stalled aid pac,https://www.nytimes.com/2024/04/20/us/politics/weapons-aid-ukraine-military.html,0.13705015182495117
0,"In Silicon Valley, You Can Be Worth Billions and It’s Not Enough",David Streitfeld,2024-04-23,Andreas Bechtolsheim doesn’t like to waste time. The entrepreneur made one of the most celebrated in,https://www.nytimes.com/2024/04/23/technology/andreas-bechtolsheimin-insider-trading.html,0.12790989875793457
0,Microsoft Makes a New Push Into Smaller A.I. Systems,Karen Weise,2024-04-23,"In the dizzying race to build generative A.I. systems, the tech industry’s mantra has been bigger is",https://www.nytimes.com/2024/04/23/technology/microsoft-ai.html,0.23286795616149902
1,Microsoft Makes a New Push Into Smaller A.I. Systems,Cade Metz,2024-04-23,"In the dizzying race to build generative A.I. systems, the tech industry’s mantra has been bigger is",https://www.nytimes.com/2024/04/23/technology/microsoft-ai.html,0.23286795616149902
0,Generative A.I. Arrives in the Gene Editing World of CRISPR,Cade Metz,2024-04-22,Generative A.I. technologies can write poetry and computer programs or create images of teddy bears ,https://www.nytimes.com/2024/04/22/technology/generative-ai-gene-editing-crispr.html,0.18169212341308594
0,"Spurred by Teen Girls, States Move to Ban Deepfake Nudes",Natasha Singer,2024-04-22,"Caroline Mullet, a ninth grader at Issaquah High School near Seattle, went to her first homecoming d",https://www.nytimes.com/2024/04/22/technology/deepfake-ai-nudes-high-school-laws.html,0.4181067943572998
0,How G.M. Tricked Millions of Drivers Into Being Spied On (Including Me),Kashmir Hill,2024-04-23,Automakers have been selling data about the driving behavior of millions of people to the insurance ,https://www.nytimes.com/2024/04/23/technology/general-motors-spying-driver-data-consent.html,0.12525677680969238
0,"Tesla’s Profit Fell 55%, Adding to Concerns About Its Strategy",Jack Ewing,2024-04-23,Tesla reported on Tuesday that it made significantly less money in the first three months of the yea,https://www.nytimes.com/2024/04/23/business/tesla-earnings-first-quarter-elon-musk.html,0.14068889617919922
0,G.M. Reports Big Jump in Profit on Gasoline Car Sales,Neal E. Boudette,2024-04-23,"General Motors on Tuesday reported a big jump in profits for the first three months of the year, bas",https://www.nytimes.com/2024/04/23/business/general-motors-earnings.html,0.20716524124145508
1,G.M. Reports Big Jump in Profit on Gasoline Car Sales,More About Neal E. Boudette,2024-04-23,"General Motors on Tuesday reported a big jump in profits for the first three months of the year, bas",https://www.nytimes.com/2024/04/23/business/general-motors-earnings.html,0.20716524124145508
0,"In Ukraine, New American Technology Won the Day. Until It Was Overwhelmed.",David E. Sanger,2024-04-23,"The idea triggered a full-scale revolt on the Google campus.

Six years ago, the Silicon Valley gian",https://www.nytimes.com/2024/04/23/us/politics/ukraine-new-american-technology.html,0.154649019241333
0,New Group Joins the Political Fight Over Disinformation Online,Steven Lee Myers,2024-04-22,"Two years ago, Nina Jankowicz briefly led an agency at the Department of Homeland Security created t",https://www.nytimes.com/2024/04/22/business/media/american-sunlight-project-fight-disinformation.html,0.14097213745117188
1,New Group Joins the Political Fight Over Disinformation Online,Jim Rutenberg,2024-04-22,"Two years ago, Nina Jankowicz briefly led an agency at the Department of Homeland Security created t",https://www.nytimes.com/2024/04/22/business/media/american-sunlight-project-fight-disinformation.html,0.14097213745117188
0,TikTok Faces E.U. Inquiry Over ‘Addictive’ Features,Adam Satariano,2024-04-22,European Union regulators on Monday threatened to fine TikTok over potentially addictive features on,https://www.nytimes.com/2024/04/22/technology/tiktok-eu-inquriy-addictive-features.html,0.23061299324035645
0,FIFA Said to Be Close to TV Deal With Apple for New Tournament,Tariq Panja,2024-04-22,"FIFA, soccer’s global governing body, is close to an agreement with Apple that would give the tech c",https://www.nytimes.com/2024/04/22/business/fifa-apple-tv-deal.html,0.12302398681640625
0,A.I.-Generated Child Sexual Abuse Material May Overwhelm Tip Line,Cecilia Kang,2024-04-22,A new flood of child sexual abuse material created by artificial intelligence is threatening to over,https://www.nytimes.com/2024/04/22/technology/ai-csam-cybertipline.html,0.13620686531066895
0,How Scam Calls and Messages Took Over Our Everyday Lives,Steven Kurutz,2024-04-21,You open your eyes and grope for your phone. You check your inbox and discover dozens of spam emails,https://www.nytimes.com/2024/04/21/style/scams-identity-theft.html,0.2117469310760498
0,"The TV Show That Predicted America’s Lonely, Disorienting Digital Future",Maya Salam,2024-04-21,"MTV

This is Danny. He fell in love with a woman he’d met online. When he saw her photo, he called i",https://www.nytimes.com/2024/04/21/arts/television/catfish-tv-show-season-9.html,0.11704492568969727
0,Start-Up Founder Sentenced to 18 Months in Prison for Fraud,Erin Griffith,2024-04-19,"Another start-up founder is going to prison for overstating his company’s performance to investors.
",https://www.nytimes.com/2024/04/19/technology/manish-lachwani-headspin-fraud.html,0.12684178352355957
0,Tesla Will Recall Cybertruck in Latest Setback,J. Edward Moreno,2024-04-19,"Tesla has agreed to recall nearly 4,000 of its Cybertruck pickups to fix an accelerator pedal that c",https://www.nytimes.com/2024/04/19/business/tesla-cybertruck-recall.html,0.2751638889312744
0,The Music Episode,Kevin Roose,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
1,The Music Episode,Casey Newton,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
2,The Music Episode,Davis Land,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
3,The Music Episode,Rachel Cohn,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
4,The Music Episode,Whitney Jones,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
5,The Music Episode,Jen Poyant,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
6,The Music Episode,Alyssa Moxley,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
7,The Music Episode,Dan Powell,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
8,The Music Episode,Elisheba Ittoop,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
9,The Music Episode,Marion Lozano,2024-04-19,This transcript was created using speech recognition software. While it has been reviewed by human t,https://www.nytimes.com/2024/04/19/podcasts/hard-fork-music-episode.html,0.7636189460754395
